Rank,Make,Model,Era/Decade,Year Introduced,Description,Average UK Price (£)
1,Harley-Davidson,XR750,1970s,1970,"Legendary flat-track racing machine immortalized by Evel Knievel, imported and raced extensively across UK flat track and oval events.","18,000 - 35,000"
2,Harley-Davidson,XLCR 1000 Cafe Racer,1970s,1977,"Willie G. Davidson's moody, all-black factory café racer experiment; a rare and highly sought-after European market collector bike.","10,000 - 18,000"
3,Harley-Davidson,FX Super Glide (Boat Tail / FXE),1970s,1971,"The original factory custom bike, combining Sportster front forks with a Big Twin FLH frame and motor.","8,000 - 15,000"
4,Harley-Davidson,FLH Electra Glide 1200 / 80,1970s,1970,Classic full-dress highway tourer with batwing fairing and hard saddlebags that defined American long-distance touring in Europe.,"7,500 - 14,000"
5,Harley-Davidson,FXS Low Rider,1970s,1977,"Popular custom cruiser featuring low seat height, dual front disc brakes, drag handlebars, and cast wheels.","7,000 - 13,000"
6,Harley-Davidson,FXST Softail,1980s,1984,Revolutionary chassis design that hid rear shock absorbers to recreate classic hardtail lines alongside the new Evolution V-twin motor.,"6,500 - 12,000"
7,Harley-Davidson,XR1000,1980s,1983,Street-legal homage to the XR750 race bike using dual Dell'Orto carburetors and high-swept dual exhaust pipes.,"11,000 - 19,000"
8,Harley-Davidson,FLSTF Fat Boy,1980s,1989,"Iconic wide-front cruiser with solid shotgun aluminum disc wheels, immortalized by Arnold Schwarzenegger in Terminator 2.","7,500 - 13,500"
9,Harley-Davidson,Sportster Evolution (XLH883 / XLH1200),1980s,1986,"Introduced the modern aluminum-headed Evolution engine to the Sportster line, cementing H-D's entry-level UK popularity.","3,500 - 6,500"
10,Harley-Davidson,FXRT Sport Glide,1980s,1983,"Touring Dyna/FXR variant equipped with frame-mounted fairing and hard bags, now a major inspiration for modern performance baggers.","8,500 - 15,000"
11,ATK,604 / 560,1980s,1987,"Horst Leitner-designed boutique American dirt bikes using Rotax engines and anti-chain torque rear suspension, sold to UK racers.","3,500 - 6,500"
12,Buell,S1 Lightning,1990s,1996,Erik Buell's minimalist streetfighter featuring a tuned 1200cc Sportster engine in a lightweight tube chassis.,"4,500 - 8,500"
13,Harley-Davidson,FLTR Road Glide,1990s,1998,Introduced the distinctive dual-headlight sharknose frame-mounted fairing for high-speed motorway stability.,"6,000 - 11,000"
14,Buell,RSS1200 / Thunderbolt S2,1990s,1994,Innovative sports-touring motorcycle with rubber-isolated Harley V-twin engine and under-slung rear shock.,"3,800 - 7,000"
15,Harley-Davidson,FXDX Super Glide Sport,1990s,1999,"The highest-handling Dyna model, featuring fully adjustable cartridge forks, triple disc brakes, and blacked-out trim.","6,500 - 11,500"
16,Harley-Davidson,FLSTS Heritage Springer,1990s,1997,"Nostalgic Softail equipped with chrome front springer forks, fringe leather bags, and classic 1940s styling cues.","9,000 - 16,000"
17,Cannondale,MX400,1990s,1999,"Ambitious fuel-injected, reverse-cylinder aluminum-framed motocross bike imported in small numbers to British off-road dealers.","3,000 - 6,000"
18,Excelsior-Henderson,Super X,1990s,1998,"Resurrected historic brand featuring a proprietary 1386cc DOHC fuel-injected V-twin, imported via specialist UK distributors.","6,500 - 10,500"
