Rank,Make,Model,Era/Decade,Year Introduced,Description,Average UK Price (£)
1,Honda,CB750 Four,1970s,1969,"The original 'Superbike' featuring an inline four-cylinder engine and front disc brake, setting the template for modern motorcycles.","8,500 - 18,000"
2,Kawasaki,Z1 900,1970s,1972,"Kawasaki's muscular answer to the CB750, delivering unmatched 903cc double overhead cam power and iconic styling.","12,000 - 22,000"
3,Yamaha,RD350 LC,1970s,1980,Legendary liquid-cooled two-stroke twin that became a cult favorite among racer replicas and street riders.,"6,500 - 11,000"
4,Suzuki,GT750 'Water Buffalo',1970s,1971,"A smooth, liquid-cooled 750cc three-cylinder two-stroke tourer with distinct exhaust notes and high cruising comfort.","7,000 - 12,500"
5,Yamaha,XT500,1970s,1975,"The pioneer of big single-cylinder dual-sport dual-purpose motorcycles, famous for winning early Paris-Dakar rallies.","4,500 - 8,500"
6,Honda,GL1000 Gold Wing,1970s,1974,Revolutionary flat-four shaft-drive tourer that established Honda as the king of long-distance motorcycle travel.,"3,500 - 7,000"
7,Kawasaki,H2 Mach IV 750,1970s,1971,Notorious 750cc two-stroke triple nicknamed 'The Widowmaker' for its blistering acceleration and wild handling.,"10,000 - 18,500"
8,Suzuki,GS1000,1970s,1978,Suzuki's superb late-70s air-cooled four-cylinder machine that dominated AMA superbike racing with balanced handling.,"4,000 - 8,000"
9,Yamaha,XS650,1970s,1970,Yamaha's bulletproof parallel-twin engine motorcycle that perfected classic British twin ergonomics with Japanese reliability.,"3,500 - 6,500"
10,Honda,CB400F Super Sport,1970s,1975,Featuring a rev-happy 400cc inline-four and iconic swooping 4-into-1 exhaust header pipes.,"3,800 - 6,800"
11,Kawasaki,Z650,1970s,1976,Agile middleweight four-cylinder offering grand performance that nearly matched 750s with far better cornering agility.,"3,200 - 6,000"
12,Suzuki,RE5 Rotary,1970s,1974,"Technological novelty powered by a Wankel rotary engine, now highly sought after by retro collectors.","7,500 - 13,000"
13,Honda,CBX1000,1970s,1978,Enginering masterpiece featuring a 1047cc 24-valve inline six-cylinder engine that produced a Formula 1-like exhaust note.,"11,000 - 20,000"
14,Yamaha,TZ350,1970s,1973,Dominant production road racer that provided privateer racers around the world a chance to win Grand Prix titles.,"9,000 - 16,000"
15,Suzuki,GS750,1970s,1976,"Suzuki's first four-stroke inline-four machine, revered for rock-solid engine durability and chassis rigidity.","3,500 - 6,500"
16,Kawasaki,KH400,1970s,1976,Classic mid-displacement 2-stroke triple offering intoxicating power band kick and distinctive smoky exhaust notes.,"4,500 - 8,500"
17,Suzuki,GSX-R750,1980s,1985,Game-changing race replica for the road featuring lightweight aluminum frame and oil-cooled engine layout.,"6,000 - 12,000"
18,Honda,VFR750R (RC30),1980s,1987,"Homologation special V4 superbike built by HRC, winning World Superbike championships and TT titles.","25,000 - 45,000"
19,Kawasaki,GPZ900R Ninja,1980s,1984,"The original 'Ninja' superbike made famous by Top Gun, equipped with a liquid-cooled 16-valve 4-cylinder engine.","4,500 - 9,500"
20,Yamaha,RD500LC / RZV500R,1980s,1984,V4 two-stroke Grand Prix replica inspired by Kenny Roberts' YZR500 racer.,"11,000 - 20,000"
21,Suzuki,RG500 Gamma,1980s,1985,Square-four two-stroke missile closely derived from Suzuki's 500cc Grand Prix World Championship race bikes.,"14,000 - 24,000"
22,Honda,CB1100R,1980s,1981,"Limited-edition endurance race homologation special with iconic red, white, and blue full fairing artwork.","10,000 - 18,000"
23,Kawasaki,Z1300,1980s,1979,Massive 1286cc liquid-cooled shaft-drive inline-six powerhouse motorcycle designed for high-speed touring.,"7,000 - 13,000"
24,Yamaha,FZ750,1980s,1985,Introduced Yamaha's Genesis 5-valve-per-cylinder head design angled forward at 45 degrees for mass centralization.,"2,500 - 5,500"
25,Suzuki,GSX1100S Katana,1980s,1981,Futuristic design styled by Target Design featuring avant-garde bodywork around a powerful 1100cc engine.,"6,000 - 12,000"
26,Honda,CX500 Turbo,1980s,1982,Pioneering turbocharged V-twin with factory electronic fuel injection system and aggressive bodywork.,"5,500 - 10,000"
27,Yamaha,V-MAX 1200,1980s,1985,Muscle cruiser armed with a liquid-cooled 1198cc V4 and 'V-Boost' intake system for insane straight-line punch.,"4,000 - 8,000"
28,Kawasaki,GPZ750 Turbo,1980s,1983,Widely regarded as the best-performing and most refined factory turbocharged motorcycle of the 1980s turbo era.,"5,000 - 9,500"
29,Honda,VF750F Interceptor,1980s,1983,First-generation V4 sports tourer featuring perimeter frame and square-tube frame technology.,"2,500 - 5,000"
30,Yamaha,TDR250,1980s,1988,Dual-purpose two-stroke twin supermoto precursor with sharp handling and lively power delivery.,"4,500 - 8,000"
31,Suzuki,GSX-R1100,1980s,1986,Brutal open-class sportbike offering raw power and lightweight design in an iconic slap-dash body design.,"5,000 - 10,000"
32,Honda,NSR250R (MC18/MC21),1980s,1987,High-tech 250cc two-stroke V-twin sportbike loaded with PGM card-key ignition and race-derived components.,"7,000 - 14,000"
33,Kawasaki,KR1-S,1980s,1989,"Lightweight, ultra-fast 250cc two-stroke parallel twin built purely for corner speed and track days.","6,000 - 11,000"
34,Honda,CBR900RR FireBlade,1990s,1992,Tadao Baba's lightweight revolution combining 600cc chassis size with 1000cc horsepower level.,"4,500 - 9,500"
35,Yamaha,YZF-R1,1990s,1998,"Redefined modern superbike standards with stacked gearbox design, short wheelbase, and 150bhp output.","5,000 - 11,000"
36,Suzuki,GSX1300R Hayabusa,1990s,1999,Broke the 300 km/h boundary to become the fastest production motorcycle of the 20th century.,"4,000 - 8,500"
37,Kawasaki,ZZR1100 (Ninja ZX-11),1990s,1990,Held the title of world's fastest production bike for nearly a decade thanks to ram-air induction.,"2,800 - 5,500"
38,Honda,NR750 (RC40),1990s,1992,"Engineering showpiece with oval pistons, 8 valves per cylinder, carbon fiber bodywork, and single-sided swingarm.","60,000 - 100,000"
39,Kawasaki,ZXR750 (ZX-7R),1990s,1989,Distinctive race replica iconic for its dual front intake hoses ('hoover tubes') and WSBK championship win.,"4,000 - 8,500"
40,Yamaha,FZR1000 EXUP,1990s,1989,Equipped with Exhaust Ultimate Power Valve system to deliver seamless power and superb handling.,"3,000 - 6,000"
41,Suzuki,TL1000S,1990s,1997,"Raw, torque-heavy 90-degree V-twin sportbike notorious for its rotary rear damper and wheelie-prone nature.","3,200 - 6,500"
42,Honda,RVF750R (RC45),1990s,1994,"The ultra-rare, fuel-injected V4 successor to the RC30 designed strictly for World Superbike domination.","30,000 - 55,000"
