Rank,Make,Model,Country,Era/Decade,Year Introduced,Description,Average UK Price (£)
1,Ducati,750 Super Sport (750 SS),Italy,1970s,1973,"Paul Smart-inspired desmodromic L-twin masterpiece, widely considered one of the most beautiful and iconic sportbikes ever built.","35,000 - 80,000"
2,BMW,R90S,Germany,1970s,1973,"Iconic sport tourer with a factory bikini fairing, iconic sunburst paintwork, and a smooth 898cc boxer twin engine.","9,000 - 18,000"
3,Laverda,750 SFC,Italy,1970s,1971,Hand-built orange endurance race replica featuring an indestructible parallel twin and race-proven handling.,"25,000 - 45,000"
4,Moto Guzzi,V7 Sport,Italy,1970s,1971,"Lino Tonti-designed frame paired with Guzzi's iconic transversal V-twin engine, setting new high-speed stability standards.","12,000 - 22,000"
5,Triumph,T160 Trident,Britain,1970s,1975,"The ultimate evolution of the classic British 750cc 3-cylinder, equipped with electric start and forward-slanted cylinders.","7,000 - 12,000"
6,MV Agusta,750S,Italy,1970s,1970,"Exotic shaft-drive 4-cylinder superbike with distinctive red, white, and blue styling and race-bred GP pedigree.","30,000 - 65,000"
7,BMW,R100RS,Germany,1970s,1976,"Pioneered wind-tunnel-developed full aerodynamics, setting the gold standard for high-speed continental touring.","4,500 - 9,000"
8,Ducati,900 Super Sport (900 SS),Italy,1970s,1975,Torquey 864cc bevel-drive desmo twin that solidified Ducati's reputation for unmatched cornering precision.,"15,000 - 30,000"
9,Moto Guzzi,Le Mans 850 (Mark I),Italy,1970s,1976,Minimalist Italian café racer icon with integrated braking system and distinctive matte-black exhaust headers.,"8,500 - 16,000"
10,Norton,Commando 850,Britain,1970s,1973,"Isolated engine vibration using the famous Isolastic frame system, delivering classic British twin character.","6,500 - 11,500"
11,Bultaco,Sherpa T 325,Spain,1970s,1972,"Dominant trial competition bike designed with Sammy Miller, transforming international observed trials riding.","2,500 - 5,000"
12,Husqvarna,400 Cross,Sweden,1970s,1970,Legendary lightweight 2-stroke motocross bike made world-famous by Steve McQueen on the cover of Sports Illustrated.,"7,000 - 14,000"
13,Benelli,750 Sei,Italy,1970s,1972,"The world's first production 6-cylinder motorcycle, boasting six chrome exhaust pipes and exotic styling.","10,000 - 19,000"
14,BSA,A65 Lightning,Britain,1970s,1971,Oil-in-frame 650cc twin representing the final era of traditional British motorcycle manufacturing in Birmingham.,"4,500 - 8,000"
15,Ducati,900 Darmah,Italy,1970s,1977,"Refined bevel-drive sports tourer featuring left-side gear shift, electric starter, and smooth road manners.","8,000 - 14,000"
16,Maico,MC400 / MC490,Germany,1970s,1978,Unrivalled long-travel suspension 2-stroke motocross racers that dominated world dirt track events.,"4,500 - 9,500"
17,Laverda,Jota 1000,Italy,1970s,1976,The world's fastest production motorcycle upon launch; 180-degree 1000cc triple with a raw exhaust sound.,"11,000 - 20,000"
18,Montesa,Cota 247,Spain,1970s,1970,Iconic Spanish trials motorcycle with slimline tank/seat unit and ultra-smooth low-RPM engine torque.,"2,200 - 4,500"
19,Hercules,W-2000,Germany,1970s,1974,Pioneering commercial production motorcycle powered by a single-rotor Wankel rotary engine.,"5,000 - 9,000"
20,Ducati,MHR (Mike Hailwood Replica),Italy,1970s,1979,Built to celebrate Hailwood's legendary 1978 Isle of Man TT victory aboard a bevel-drive Ducati.,"14,000 - 26,000"
21,BMW,R80G/S,Germany,1980s,1980,Created the modern adventure-touring segment with single-sided Monolever swingarm and Paris-Dakar wins.,"7,500 - 15,000"
22,Bimota,DB1,Italy,1980s,1985,Bimota's first Ducati-powered machine featuring full fiberglass enclosure and featherweight chassis tuning.,"14,000 - 25,000"
23,BMW,K1,Germany,1980s,1988,"Futuristic, ultra-aerodynamic sports touring flagship powered by a liquid-cooled longitudinal 16V inline-four.","4,500 - 8,500"
24,Ducati,851,Italy,1980s,1987,"Introduced liquid cooling, 4-valve heads, and fuel injection to Ducati's V-twin, winning WSBK championships.","9,000 - 18,000"
